SiteID,SITENAME,X,Y
1,WalkaboutLake,688020,4993875
2,ParagonLake,687427,4994716
3,ParagonWetland,687170,4994770
4,RamshornLake,687914,4994972
5,Mt.WilsonLake,687645,4995325
6,MooseLake,688549,4995538
7,GreggsLake,688083,4996003
8,DoeLake,688968,4996458
9,FawnLake,688911,4996632
10,CacheLake,688777,4997264
11,EggWhiteLake,688568,4997936
12,FrogPondLake,688873,4998211
13,InandOutLake,688287,4998472
14,SkyhighLake,688146,4998815
15,BachelorMeadow,688500,4998900
16,BobLake,690127,4999150
18,WelcomeLake,689493,4999844
19,BarkingFoxLake,687944,5000006
20,Terrace1Lake,687921,5000641
21,NopezLake,686915,5002250
23,MeadowLake,690900,5002500
24,GentianLake,689800,5002750
25,GentianPonds,689939,5002843
26,StockingCapLake,690001,5002946
27,AirplaneLake,688835,5002939
28,GoldenLake,690220,5003775
29,ShipIslandLake,686850,5003800
30,PotholeLake,690487,5004135
31,ElenasLake,688927,5004222
