"","patch","samples","PopSize","intensity","F","Ne","I","Ho","He","A","PA","FIS","pj08","pj89"
"1","A02",6,"small","Ungrazed",0.053,3.438888161,1.194948361,0.535885167,0.56144548,4.01,0.01,0.072,0.5,0.4
"2","A03",26,"small","Int",0.057,3.10453048,1.152290162,0.517241379,0.561236623,3.7,0,0.096,0.69,0.46
"3","A04",7,"small","Int",0.003,2.796740238,0.970283375,0.480519481,0.49257885,3.7,0,0.101,0.58,0.56
"4","A05",25,"small","Cte",0.064,3.68112237,1.214322584,0.509090909,0.566033997,3.97,0,0.09,0.65,0.56
"5","A06",29,"big","Cte",0.105,3.629927517,1.364099812,0.542424242,0.627121212,4.32,0.01,0.097,0.77,0.44
"6","A07a",27,"big","Cte",0.03,3.495833595,1.269173177,0.548484848,0.581818182,4.12,0.01,0.085,0.46,0.29
"7","A08",20,"small","Int",0.119,3.577000802,1.225306226,0.486166008,0.569599588,4.02,0,0.146,0.56,0.35
"8","A09",9,"small","Int",-0.054,3.02702558,1.108359715,0.585858586,0.564534231,3.84,0.06,0.021,0.52,0.27
"9","A11",4,"small","Cte",NA,2.491552995,1.002802437,0.613636364,0.534090909,NA,NA,0.048,0.63,0.38
"10","A12",12,"small","Cte",0.189,3.439969506,1.171777327,0.462121212,0.562184343,4.06,NA,0.22,0.33,0.25
"11","A14",16,"big","Cte",-0.021,2.88816546,1.026594836,0.528409091,0.525213068,3.4,NA,0.11,0.67,0.46
"12","A16",1,"small","Ungrazed",NA,1.454545455,0.3150669,0.454545455,0.227272727,NA,NA,NA,0.33,0.27
"13","A18",27,"big","Cte",0.007,3.505166375,1.266845006,0.567398119,0.580856124,4.1,NA,0.045,0.42,0.27
"14","A20",5,"small","Int",-0.072,3.31992106,1.142781885,0.606060606,0.571969697,4.45,0.19,0.031,0.6,0.48
"15","A21",30,"big","Int",0.028,3.628502384,1.312338607,0.565982405,0.597105288,4.21,0.01,0.068,0.79,0.77
"16","A23",31,"big","Int",0.048,3.62291952,1.316721883,0.557184751,0.597720178,4.27,0.01,0.084,0.6,0.44
"17","A24",29,"big","Int",0.058,3.710084458,1.325565005,0.56842066,0.601781124,4.27,0.01,0.073,0.77,0.54
"18","A25",11,"small","Cte",0.05,3.311116298,1.153631793,0.521212121,0.563030303,3.85,0.03,0.108,0.67,0.44
"19","A26",25,"small","Cte",0.079,3.675798356,1.305102934,0.537853451,0.591426169,4.25,0.02,0.11,0.69,0.4
"20","A28",33,"big","Ungrazed",0.025,3.310717726,1.252819611,0.564738292,0.588696886,3.98,0.01,0.056,0.63,0.52
"21","A29",27,"big","Cte",0.032,3.508175155,1.279498135,0.571428571,0.588878359,4.12,0.01,0.048,0.73,0.58
"22","A31",23,"small","Cte",0.092,3.363254307,1.261750237,0.513833992,0.581457295,4.11,0.02,0.138,0.69,0.42
"23","A33",35,"small","Cte",0.065,2.560466138,1.286163277,0.542322383,0.593379368,4.11,0.09,0.101,0.54,0.4
"24","A36",9,"small","Ungrazed",-0.084,3.525552681,1.194948361,0.535885167,0.56144548,4.18,0,-0.043,0.54,0.56
"25","A37",30,"big","Ungrazed",0.111,3.456290894,1.202036809,0.498533724,0.5662662,3.89,0.01,0.136,0.52,0.42
"26","A38",29,"big","Cte",0.053,3.674908042,1.297387039,0.551515152,0.587727273,4.19,NA,0.078,0.77,0.56
"27","A39",2,"small","Ungrazed",NA,2.145154845,0.76135277,0.424242424,0.449494949,NA,NA,0.253,0.46,0.46
"28","A40",1,"small","Ungrazed",NA,1.545454545,0.37808028,0.545454545,0.272727273,NA,NA,NA,0.69,0.23
"29","A44",5,"small","Int",-0.015,2.852061444,1.017203319,0.518181818,0.528977273,3.73,0,0.136,0.6,0.42
"30","A45",16,"small","Cte",-0.021,3.37712102,1.218660366,0.591774892,0.583215832,4,0,0.02,0.67,0.5
"31","A46",2,"small","Int",NA,2.042424242,0.657471171,0.5,0.397727273,NA,NA,0.083,0.52,0.42
"32","C08",30,"small","Cte",0.013,3.758456309,1.099436524,0.493939394,0.516111111,3.62,0.02,0.14,1e-06,1e-06
"33","E01",34,"big","Cte",0.086,3.926425157,1.335744151,0.553030303,0.604166667,4.28,0.04,0.099,1e-05,1e-05
"34","E03",15,"small","Ungrazed",-0.041,3.193790982,1.152740831,0.577156177,0.557678561,3.88,0.01,0,1e-06,1e-06
"35","E04",30,"small","Ungrazed",-0.018,3.42143704,1.191634184,0.578265413,0.569760146,3.8,0.04,0.034,1e-06,1e-06
"36","E09",32,"small","Ungrazed",0.087,3.395351999,1.289240135,0.53125,0.595348011,4.12,0.01,0.034,1e-06,1e-06
"62","G01",29,"big","Cte",0.041,3.633462224,1.258946603,0.565900575,0.59649659,4.05,0.02,0.03,0.6,0.75
"37","G100",58,"big","Cte",0.06,3.711274416,1.332312422,0.547380586,0.597941752,4.18,0,0.123,0.71,0.75
"38","G13",41,"big","Cte",0.075,4.1887,1.357712954,0.535920177,0.591776624,4.3,0.03,0.069,0.63,0.75
"39","G16",20,"big","Cte",0.067,3.643448044,1.303312599,0.523510972,0.587990488,4.22,0.02,0.093,0.81,0.75
"40","G20",29,"big","Cte",0.033,3.955054448,1.311829171,0.566039707,0.592050709,4.24,0,0.107,0.81,0.75
"41","G21",29,"big","Cte",0.076,3.80578395,1.345908136,0.554127482,0.601740412,4.39,0.08,0.127,0.71,0.75
"42","G21a",9,"small","Cte",NA,2.769669644,0.991148899,0.515151515,0.503928171,NA,NA,0.061,0.54,0.75
"43","G23",27,"big","Cte",0.033,3.475795345,1.277073559,0.557599808,0.57227915,4.21,0.01,0.096,0.65,0.75
"44","G26",35,"big","Cte",0.039,3.87005,1.341828773,0.554571318,0.589239182,4.33,0.02,0.037,0.65,0.75
"45","G28",26,"big","Cte",0.065,3.869853469,1.300754084,0.539393939,0.579494949,4.26,0.01,0.044,0.69,0.75
"46","G29",29,"big","Cte",0.065,3.534578778,1.263554346,0.509090909,0.565555556,4.13,0.02,0.072,0.69,0.75
"47","G30",28,"big","Cte",0.119,3.595502843,1.298331394,0.512121212,0.598838384,4.19,0,0.13,0.79,0.75
"48","G31",30,"big","Cte",0.051,3.627837685,1.321045423,0.54430512,0.593927563,4.27,0.02,0.117,0.63,0.75
"49","G32",23,"big","Cte",0.1,4.098794819,1.377692194,0.526448698,0.605753111,4.43,0.02,0.161,0.6,0.75
"50","G37",26,"big","Cte",0.138,3.699892963,1.318337018,0.515151515,0.594899613,4.31,0.01,0.1,0.83,0.75
"51","G39",27,"big","Cte",0.064,3.656859318,1.285588355,0.529780564,0.583774727,4.19,0,0.144,0.83,0.75
"52","G40",30,"big","Cte",-0.005,3.688726156,1.230220971,0.563049853,0.560590294,4.01,0,0.153,0.75,0.75
"53","G45",29,"big","Cte",0.096,3.864019867,1.208545435,0.486729363,0.556102764,3.93,0.02,0.111,0.71,0.75
"54","G46",28,"big","Cte",0.068,3.696453571,1.279801868,0.521212121,0.573434343,4.16,0.02,0.05,0.83,0.75
"55","G47",26,"big","Cte",0.048,3.703165192,1.27706174,0.548701299,0.580820965,4.14,0.01,0.121,0.75,0.75
"56","G48",26,"big","Cte",0.066,4.225678288,1.335837719,0.55799373,0.60242136,4.27,0.02,0.108,0.79,0.75
"57","G49",30,"big","Cte",0.072,3.939382962,1.231540772,0.51138976,0.566487046,3.99,0.07,0.065,0.77,0.75
"58","G50",29,"big","Cte",0.027,3.683885138,1.23558476,0.544131794,0.571417119,4.01,0.04,0.126,0.58,0.75
"63","G5a",27,"big","Cte",0.072,3.757204026,1.283567294,0.537555038,0.586651451,4.18,0,0.145,0.79,0.75
"59","Gzim",28,"big","Cte",0.091,4.010113269,1.429961513,0.563636364,0.626515152,4.18,0.06,0.099,0.52,0.75
"60","N03",27,"big","Cte",0.113,4.154071435,1.382625307,0.545454545,0.625608042,4.43,0.02,0.108,1e-06,1e-06
"65","N05",28,"big","Cte",0.059,3.6027477,1.242291504,0.512987013,0.562606153,4.06,0.03,0.066,1e-06,1e-06
"61","N10",23,"big","Ungrazed",0.039,3.365089342,1.12332576,0.505454545,0.5296,3.73,0,0.102,1e-06,1e-06
"64","Nroth",14,"small","Ungrazed",0.023,2.561954393,0.948292208,0.428571429,0.45825603,3.44,0,0.107,1e-06,1e-06
